carat,cut,color,clarity,depth,table,price,x,y,z,date_sold
0.29,Very Good,3,VVS1,60.5,57,$731,4.31,4.34,2.61,21/11/17
1.2,Premium,6,VS2,62.3,57,"$4,844",6.79,6.74,4.22,21/11/14
0.35,Ideal,7,IF,61.8,53,$569,4.58,4.61,2.84,25/08/12
0.31,Ideal,2,VVS2,62.4,53,$791,4.33,4.35,2.71,09/12/05
0.9,Premium,5,VS2,62,57,"$4,082",6.16,6.1,3.8,01/12/06
0.3,Premium,1,VS2,62.6,61,$911,4.25,4.22,2.65,27/02/13
1.06,Very Good,5,VS2,60.7,59,"$5,415",6.56,6.63,4,01/05/08
1.06,Very Good,3,SI1,59.5,63,"$4,488",6.62,6.59,3.93,27/12/10
0.56,Ideal,4,VS2,60.6,57,"$1,698",5.36,5.33,3.24,10/11/10
0.33,Ideal,2,VS2,62.1,56,$723,4.43,4.46,2.76,23/08/08
0.23,Very Good,2,VS1,59.5,58,$402,4.01,4.06,2.4,23/12/09
0.6,Ideal,1,SI1,61.7,56,"$2,263",5.39,5.44,3.34,19/06/00
1.08,Premium,5,VS2,62.1,58,"$5,250",6.63,6.51,4.08,11/05/16
0.36,Ideal,4,VS1,62.3,57,$678,4.55,4.57,2.84,04/10/12
0.41,Ideal,1,SI2,62.3,57,$876,4.78,4.75,2.97,01/07/03
0.52,Ideal,3,VS1,61.2,57,"$1,872",5.2,5.16,3.17,12/09/01
0.41,Ideal,4,SI1,61.7,54,$688,4.78,4.81,2.96,24/01/00
0.8,Very Good,3,VS2,63.2,55,"$3,369",5.9,5.88,3.72,06/05/03
1,Very Good,2,SI1,63.3,56,"$5,026",6.31,6.39,4.02,04/11/05
2.03,Very Good,6,SI2,61.2,55,"$12,714",8.14,8.26,5.02,06/03/99
0.51,Very Good,3,VS2,63,57,"$1,423",5.05,5.11,3.2,09/07/05
0.9,Ideal,5,VS1,60.9,57,"$4,201",6.2,6.24,3.79,03/02/03
0.71,Ideal,1,VS2,59.9,57,"$3,540",5.8,5.83,3.48,02/12/18
2.06,Premium,2,SI2,58.8,58,"$14,634",8.42,8.35,4.93,01/05/18
3.51,Premium,7,VS2,62.5,59,"$18,701",9.66,9.63,6.03,16/05/06
1.75,Very Good,5,VS1,63.3,56,"$14,359",7.63,7.53,4.8,20/12/03
0.72,Ideal,1,VS2,62.6,58,"$3,495",5.7,5.73,3.58,28/07/05
0.34,Very Good,4,SI1,60.8,59,$507,4.46,4.56,2.74,15/03/13
0.53,Ideal,2,VS2,61.9,56,"$1,721",5.19,5.21,3.22,30/01/10
0.55,Ideal,1,VS2,61.8,54,"$2,030",5.29,5.26,3.26,17/04/06
1.02,Ideal,4,VS1,61.6,55,"$7,129",6.53,6.46,4,22/03/01
0.3,Ideal,5,VVS1,61.1,56,$650,4.33,4.37,2.66,28/04/12
0.31,Ideal,1,VVS2,60.9,57,$777,4.38,4.42,2.68,20/06/19
0.38,Ideal,5,VS2,62.2,54,$703,4.64,4.68,2.9,25/05/11
1.1,Premium,4,SI1,59.6,60,"$4,712",6.74,6.7,4,16/03/98
0.4,Ideal,6,VS1,63,56,$945,4.72,4.68,2.96,08/02/17
0.78,Ideal,6,VS1,61.9,56,"$3,105",5.91,5.94,3.67,06/03/10
0.3,Ideal,3,VS2,60.5,58,$573,4.3,4.36,2.62,02/12/00
1.21,Premium,1,VS1,60.2,59,"$10,083",6.89,6.86,4.14,05/06/19
0.32,Ideal,4,VVS2,62.4,54,$730,4.37,4.38,2.73,07/08/12
0.59,Ideal,2,VS2,61.5,56,"$1,789",5.38,5.42,3.32,23/03/09
0.24,Very Good,2,VVS1,62,60,$485,3.96,4.01,2.47,12/05/18
2.1,Very Good,6,SI2,60.6,60,"$12,612",8.29,8.33,5.04,11/10/08
0.81,Premium,4,VS1,62.1,58,"$3,311",5.96,5.92,3.69,01/09/14
0.38,Premium,5,VS2,60.9,60,$700,4.62,4.67,2.83,02/07/07
1.5,Very Good,1,VS1,61.2,63,"$16,407",7.28,7.32,4.47,27/02/13
0.3,Ideal,4,IF,62.1,57,$863,4.27,4.29,2.66,07/05/04
1.01,Premium,5,SI1,61.8,61,"$4,513",6.47,6.4,3.98,01/09/04
2.12,Premium,6,SI2,60.6,59,"$15,235",8.3,8.27,5.02,11/08/06
0.9,Very Good,5,VS2,61.6,63,"$3,810",6.14,6.1,3.77,20/11/14
1.1,Ideal,3,VVS2,61.2,56,"$9,343",6.71,6.64,4.08,17/07/98
1.01,Ideal,4,VVS2,62.2,56,"$8,034",6.41,6.46,4,03/04/01
0.53,Ideal,6,VS2,62,55,"$1,236",5.16,5.19,3.21,19/05/99
0.42,Ideal,1,VVS2,62,55,"$1,210",4.84,4.81,2.99,06/10/10
0.41,Very Good,5,IF,62.9,54,"$1,187",4.71,4.74,2.97,13/04/01
0.32,Good,3,SI1,63.8,59,$593,4.33,4.29,2.75,29/12/06
0.7,Very Good,5,VS1,63.3,59,"$2,484",5.62,5.66,3.57,15/07/99
0.3,Very Good,6,SI1,61.2,58,$405,4.28,4.31,2.63,04/07/07
1.22,Very Good,3,SI1,63.5,56,"$5,329",6.79,6.75,4.3,30/08/07
0.8,Ideal,3,SI1,62.8,54,"$2,975",5.9,5.97,3.74,17/04/05
0.77,Very Good,2,SI1,63.2,58,"$2,873",5.8,5.84,3.68,22/11/18
2.03,Fair,4,I1,66.3,56,"$6,377",7.81,7.75,5.16,29/05/19
0.7,Fair,4,SI1,56.6,61,"$2,120",5.86,5.95,3.34,13/04/98
1.53,Ideal,6,VS1,62.9,57,"$7,968",7.36,7.3,4.61,02/01/10
0.4,Ideal,6,VVS2,62.2,55,$939,4.72,4.76,2.95,09/06/12
0.51,Very Good,3,VS1,61,59,"$1,706",5.16,5.1,3.13,17/07/03
1.7,Premium,4,VS2,59,58,"$15,797",7.8,7.85,4.62,25/01/98
1.07,Ideal,4,VVS2,62.4,55.6,"$8,235",6.48,6.55,4.07,09/02/03
1.09,Ideal,7,VS2,61.3,57,"$4,131",6.63,6.61,4.06,13/07/05
0.73,Ideal,2,VS1,62.5,57,"$3,235",5.73,5.76,3.59,21/03/04
0.3,Good,4,VVS2,63.2,57,$684,4.24,4.27,2.69,11/02/12
0.3,Premium,5,VS1,62.1,59,$491,4.25,4.28,2.65,18/05/17
1.02,Very Good,4,IF,62.3,59,"$8,624",6.36,6.45,3.99,23/02/12
0.75,Very Good,5,VS1,59.3,59,"$2,513",5.87,6,3.52,28/09/01
0.35,Premium,1,SI1,61.8,59,$827,4.56,4.54,2.81,03/06/18
0.41,Ideal,4,VVS2,62.5,55,"$1,076",4.76,4.75,2.97,30/12/18
1,Good,1,VS1,57.8,61,"$7,500",6.62,6.56,3.81,13/12/12
1,Good,2,SI1,63.1,64,"$4,435",6.31,6.25,3.96,03/06/14
1.23,Ideal,4,SI1,61.4,56,"$6,509",6.94,6.91,4.25,11/07/09
0.54,Ideal,4,VVS1,61.3,56,"$1,982",5.23,5.28,3.22,07/11/16
0.92,Premium,6,VVS1,62.4,59,"$3,932",6.17,6.14,3.84,13/05/00
0.57,Premium,2,SI1,62.2,55,"$1,590",5.36,5.31,3.32,29/11/13
0.51,Very Good,7,VS2,61.6,58,"$1,008",5.09,5.14,3.15,29/06/07
0.36,Ideal,3,VVS2,62.4,55,$896,4.54,4.57,2.84,07/07/00
0.52,Very Good,2,SI2,61.1,57,"$1,146",5.2,5.24,3.19,24/11/02
0.44,Premium,2,VS2,60.4,59,"$1,073",4.93,4.9,2.97,09/09/00
1.47,Premium,7,SI2,60,58,"$6,223",7.36,7.31,4.4,22/01/98
0.5,Fair,2,SI1,65.3,58,"$1,134",4.99,4.91,3.23,29/06/16
1.02,Good,7,SI2,63.1,58,"$3,298",6.34,6.38,4.01,01/05/16
1.73,Good,2,I1,63.6,59,"$8,370",7.6,7.56,4.82,09/04/01
0.38,Ideal,1,VVS1,60.7,57,"$1,270",4.69,4.74,2.86,14/04/17
0.7,Fair,6,VS2,66.1,56,"$1,814",5.53,5.48,3.64,19/01/06
0.31,Ideal,3,IF,62,56,$979,4.32,4.36,2.69,27/12/04
1.14,Very Good,6,VS1,63.3,56,"$5,148",6.68,6.6,4.2,09/05/19
0.72,Ideal,5,VS1,61.9,56,"$2,608",5.78,5.73,3.56,14/08/15
0.72,Very Good,5,VS2,62.9,58,"$2,396",5.7,5.75,3.6,20/04/18
1.51,Fair,4,VS1,64.9,55,"$11,739",7.25,7.14,4.67,27/07/17
0.3,Very Good,5,VS1,61.9,55,$541,4.32,4.37,2.69,26/06/98
1.04,Premium,4,SI2,61.2,58,"$4,200",6.5,6.57,4,02/05/04
0.32,Premium,2,VVS1,60.8,59,"$1,044",4.45,4.43,2.7,24/11/09
1.28,Ideal,2,IF,60.7,57,"$18,700",7.09,6.99,4.27,23/09/15
0.35,Good,5,SI1,63.2,57,$504,4.48,4.51,2.84,06/12/15
0.4,Very Good,3,VS1,62.2,55,$786,4.68,4.74,2.93,11/06/05
0.36,Ideal,1,VS1,60.8,57,"$1,094",4.59,4.62,2.8,30/09/07
1.2,Very Good,7,VS1,62.9,60,"$5,226",6.64,6.69,4.19,26/02/03
0.9,Very Good,5,SI2,63.4,60,"$3,105",6.08,6.03,3.84,08/03/99
1.2,Premium,5,VS2,62.8,58,"$6,416",6.75,6.7,4.22,31/12/13
0.38,Ideal,2,VVS1,62.4,54,"$1,160",4.64,4.66,2.9,06/10/02
1.03,Premium,7,I1,62.8,55,"$2,392",6.43,6.41,4.03,01/01/14
0.4,Ideal,1,VS2,61.6,57,"$1,050",4.77,4.71,2.92,27/02/16
0.27,Ideal,1,VS2,60.2,57,$470,4.19,4.21,2.53,06/02/09
1.53,Very Good,6,SI2,61.6,56,"$7,406",7.39,7.45,4.57,20/08/14
0.78,Ideal,6,VS2,59.8,58,"$2,652",5.98,6.02,3.59,17/02/10
0.5,Good,2,VS1,61,61,"$1,714",5.07,5.12,3.11,31/05/17
0.93,Premium,2,SI2,62.9,57,"$3,984",6.25,6.19,3.91,09/06/18
0.9,Premium,5,VS2,61.6,58,"$4,032",6.26,6.18,3.83,07/01/99
0.37,Very Good,2,VS1,63.7,56,$738,4.54,4.6,2.91,18/01/18
1.52,Ideal,4,SI1,60.7,57,"$9,704",7.41,7.38,4.49,02/06/10
1.05,Ideal,3,SI2,61.9,56,"$5,347",6.48,6.5,4.02,24/05/13
1.06,Ideal,3,I1,62.1,55,"$3,609",6.57,6.54,4.07,28/05/11
0.32,Ideal,4,IF,61.7,56,$918,4.39,4.42,2.72,05/04/09
0.3,Ideal,2,VVS1,61.5,57,$956,4.35,4.33,2.67,29/10/08
0.54,Very Good,3,VS2,59.4,57,"$1,662",5.29,5.35,3.16,09/03/00
0.7,Fair,3,VS1,65.8,59,"$2,381",5.58,5.48,3.64,20/08/05
0.9,Ideal,2,VS1,61.3,57,"$5,242",6.24,6.2,3.81,25/02/07
1.26,Very Good,6,SI1,61.9,58,"$6,318",6.97,6.92,4.3,26/02/05
0.54,Ideal,2,SI2,60.4,57,"$1,266",5.27,5.3,3.19,29/03/19
0.56,Ideal,2,SI2,61.9,55,"$1,296",5.32,5.34,3.3,07/08/07
0.38,Ideal,4,VVS2,61.5,55.2,$929,4.67,4.71,2.89,09/10/01
1.01,Ideal,5,VS1,62.6,57,"$5,777",6.37,6.4,4,30/01/14
0.37,Premium,3,VS2,59.8,59,$746,4.63,4.66,2.78,19/02/03
0.41,Ideal,4,VVS2,61.3,56,"$1,076",4.77,4.76,2.92,19/02/19
0.33,Premium,4,VS2,60.8,58,$579,4.45,4.47,2.71,06/09/03
0.24,Very Good,3,VS2,62.4,58,$419,3.98,4,2.49,09/04/06
0.4,Very Good,3,VS1,62,56,$951,4.71,4.73,2.92,29/09/18
0.3,Ideal,2,VVS2,61.8,56,$789,4.31,4.33,2.67,21/04/13
2.21,Ideal,4,SI2,60.2,60,"$18,128",8.38,8.47,5.07,05/08/13
1.59,Very Good,4,SI1,62.3,60,"$11,613",7.42,7.49,4.64,02/11/00
0.6,Ideal,5,VVS1,61,56,"$2,568",5.44,5.47,3.33,28/07/08
0.27,Very Good,3,VS2,63.3,58,$470,4.08,4.1,2.59,16/07/15
0.54,Ideal,1,VS2,61.1,57,"$1,993",5.29,5.19,3.2,15/04/06
0.7,Ideal,2,VS2,60.3,57,"$2,719",5.7,5.8,3.47,18/11/08
0.53,Very Good,2,VS2,62.3,56.7,"$1,857",5.19,5.23,3.25,20/07/16
0.4,Ideal,2,VVS2,62.4,59,"$1,166",4.7,4.73,2.94,05/06/03
1.21,Premium,6,SI1,61.6,56,"$5,760",6.89,6.85,4.23,21/04/10
0.57,Ideal,4,VS2,61.6,57,"$1,728",5.36,5.32,3.29,28/01/00
0.32,Ideal,3,VVS2,61.2,57,"$1,008",4.43,4.4,2.7,15/01/19
0.5,Premium,6,VVS1,62.8,61,"$1,556",5.05,4.98,3.15,19/05/14
0.52,Ideal,2,VS2,61.1,55,"$1,689",5.2,5.27,3.2,11/11/04
0.53,Ideal,1,SI1,62,57,"$1,566",5.19,5.23,3.23,22/09/11
0.5,Very Good,3,VS2,62.6,54,"$1,404",5.1,5.13,3.2,02/01/14
0.51,Ideal,3,VVS2,61.2,56,"$2,203",5.19,5.17,3.17,08/12/11
2.04,Premium,6,SI2,60.3,60,"$14,660",8.26,8.19,4.96,05/10/16
0.33,Ideal,4,VVS2,62.5,54,$965,4.45,4.41,2.77,20/05/08
1,Good,2,SI2,63.5,56,"$4,620",6.31,6.38,4.03,25/11/13
0.84,Fair,1,SI2,64.5,60,"$2,167",5.92,5.84,3.79,17/04/07
0.33,Premium,2,VS2,61.9,58,$804,4.47,4.42,2.75,30/04/15
0.27,Very Good,2,VS2,63.1,57,$470,4.07,4.11,2.58,12/07/09
0.57,Ideal,2,SI1,62.1,56,"$1,728",5.33,5.3,3.3,11/07/02
0.32,Very Good,2,SI1,61.6,56,$561,4.39,4.41,2.71,06/05/13
0.54,Premium,4,VS2,61,60,"$1,637",5.24,5.18,3.18,05/01/10
0.33,Premium,6,VVS1,61.9,60,$780,4.44,4.41,2.74,01/02/04
0.3,Premium,4,VS1,62.2,59,$776,4.28,4.24,2.65,02/01/10
1.13,Ideal,5,SI2,61.6,55,"$4,911",6.68,6.72,4.13,14/03/98
0.31,Ideal,5,VVS2,61.4,55,$609,4.37,4.39,2.69,27/11/17
0.3,Very Good,2,SI1,62.9,57,$526,4.27,4.32,2.7,18/10/11
1.5,Ideal,2,SI1,61.9,57,"$9,828",7.37,7.31,4.54,13/12/13
0.4,Ideal,4,VS1,62.4,57,$877,4.72,4.74,2.95,03/05/14
0.47,Ideal,2,VVS2,62,55,"$1,883",4.97,5,3.09,19/11/07
0.31,Very Good,1,SI2,63.1,54,$593,4.38,4.33,2.75,11/02/16
3.01,Good,6,SI2,63.9,60,"$18,242",9.06,9.01,5.77,08/04/13
0.53,Very Good,2,VS1,63,56,"$1,776",5.13,5.16,3.24,17/06/04
0.74,Ideal,4,SI1,62.7,56,"$2,309",5.78,5.74,3.61,29/06/05
0.42,Ideal,3,VS1,61.4,57,"$1,103",4.83,4.78,2.95,12/05/12
1,Premium,3,VS2,62.4,60,"$6,352",6.35,6.38,3.97,01/01/09
0.5,Premium,2,SI1,62.4,58,"$1,155",5.06,5.01,3.14,09/03/01
0.91,Premium,1,SI2,62.3,57,"$3,781",6.22,6.14,3.85,13/10/98
1.01,Premium,5,SI1,60.3,59,"$4,191",6.45,6.42,3.88,16/02/08
1.52,Premium,6,SI2,62.5,56,"$7,341",7.35,7.33,4.59,14/07/98
0.6,Premium,2,SI1,59.4,60,"$1,771",5.57,5.51,3.29,26/08/18
0.51,Ideal,4,VVS2,61.2,55,"$1,974",5.18,5.15,3.16,24/02/06
1.2,Premium,6,SI1,61.4,57,"$5,098",6.87,6.8,4.2,18/11/06
0.49,Very Good,3,SI1,62.5,57,"$1,116",4.99,5.02,3.13,13/03/02
0.29,Very Good,4,VVS2,60.2,59,$541,4.27,4.3,2.58,27/10/08
1,Good,4,VS1,64.4,58,"$5,906",6.23,6.29,4.03,20/09/12
0.4,Ideal,2,VVS1,61.7,57,"$1,333",4.7,4.74,2.91,04/11/13
0.31,Very Good,1,VS2,62.9,55,$734,4.31,4.34,2.72,25/01/05
0.31,Premium,2,SI1,62,58,$698,4.35,4.3,2.68,15/08/10
0.9,Fair,1,SI2,64.7,54,"$3,205",6.1,6.04,3.93,09/05/98
0.76,Ideal,1,VS2,61.2,57,"$3,443",5.89,5.91,3.61,04/03/99
0.31,Very Good,4,VVS1,63.5,57,"$1,046",4.33,4.3,2.74,05/09/15
0.44,Ideal,4,SI1,60.9,56,"$1,188",4.88,4.94,2.99,18/09/03
1.26,Premium,2,VS1,60.7,58,"$10,367",7.02,7.04,4.27,20/05/03
1.5,Fair,4,VVS2,64.8,56,"$13,553",7.18,7.12,4.63,19/11/14
0.7,Good,3,SI1,63.2,57,"$2,401",5.62,5.68,3.57,19/03/01
0.3,Very Good,2,VVS2,62.5,56,$742,4.28,4.3,2.68,12/01/09
1.08,Ideal,7,SI1,62.1,55,"$4,633",6.54,6.57,4.07,07/11/09
0.46,Ideal,5,VS2,62.2,54,"$1,083",4.95,4.97,3.09,15/01/09
1.25,Ideal,1,VS2,62.6,56,"$10,114",6.87,6.84,4.29,20/09/17
0.31,Ideal,3,SI1,60.5,57,$516,4.4,4.43,2.67,11/12/18
1.02,Ideal,4,SI1,60.6,59,"$5,044",6.55,6.52,3.96,21/05/01
0.5,Premium,2,SI1,59.9,58,"$1,593",5.18,5.17,3.1,16/08/08
0.8,Ideal,2,SI2,60.9,57,"$3,251",6,6.03,3.66,08/01/17
0.64,Ideal,2,VS1,60.8,56,"$2,679",5.61,5.59,3.41,10/02/10
0.3,Ideal,4,VVS1,62.6,54,"$1,013",4.32,4.31,2.7,18/02/08
1.02,Premium,3,VS2,61.8,56,"$6,626",6.54,6.46,4.02,02/05/02
0.53,Premium,2,VS2,61.4,58,"$1,579",5.24,5.19,3.2,13/04/12
1.5,Good,4,VS2,63.3,62,"$11,577",7.08,7.2,4.52,21/11/13
1.07,Very Good,4,VS1,58.6,60,"$6,610",6.65,6.76,3.93,30/06/98
0.31,Ideal,2,SI1,61.1,56,$660,4.39,4.41,2.69,02/09/08
1.19,Ideal,4,VVS2,60.9,53,"$9,403",6.88,6.92,4.2,13/03/05
2.58,Premium,5,SI2,62.6,57,"$16,195",8.77,8.73,5.48,20/07/14
1.22,Ideal,5,VS1,61.9,54,"$8,411",6.88,6.9,4.26,22/12/11
0.57,Ideal,2,VS2,60.8,56,"$1,919",5.34,5.37,3.26,14/12/17
1.71,Very Good,4,VS1,61.3,54,"$17,206",7.69,7.74,4.73,04/11/08
1.38,Ideal,4,VVS1,61.8,56,"$13,250",7.15,7.12,4.41,26/02/16
0.3,Ideal,4,VVS1,61.4,56,$945,4.34,4.32,2.66,17/04/03
1.39,Ideal,1,SI1,61.9,52,"$9,519",7.24,7.25,4.48,09/03/03
0.41,Good,1,SI2,63.1,54,$638,4.72,4.75,2.99,03/09/14
1.55,Premium,7,SI1,62.5,58,"$7,502",7.36,7.4,4.61,07/06/14
0.59,Ideal,4,VVS2,62.2,56,"$1,966",5.37,5.4,3.35,02/08/07
0.72,Ideal,3,IF,62,57,"$4,228",5.71,5.78,3.56,27/05/17
1.71,Premium,6,VS2,61.5,58,"$9,116",7.74,7.54,4.7,28/02/14
2,Fair,5,SI2,55.3,65,"$11,202",8.42,8.35,4.64,04/12/08
0.53,Very Good,1,IF,59.8,60,"$3,827",5.22,5.28,3.14,06/04/17
1.06,Premium,4,VS2,60.4,58,"$6,296",6.64,6.68,4.02,09/12/17
2.39,Premium,5,SI1,60.6,58,"$16,687",8.65,8.58,5.22,16/11/07
0.3,Ideal,1,VS2,61.6,57,$911,4.33,4.3,2.66,13/10/13
0.29,Very Good,2,VS1,61.9,55,$555,4.28,4.33,2.66,02/06/99
2.01,Ideal,7,SI2,62.9,54,"$11,011",8.06,7.93,5.05,28/02/17
0.3,Good,3,VVS1,61.1,61,$682,4.29,4.32,2.63,18/05/98
0.3,Premium,4,VVS2,62.8,60,$878,4.28,4.25,2.68,26/09/14
0.3,Very Good,4,VVS2,62.7,56,$684,4.24,4.31,2.68,21/02/13
0.7,Very Good,4,I1,63.1,56,"$1,115",5.6,5.51,3.51,02/02/15
1.5,Fair,1,SI1,65.1,59,"$10,374",7.1,7.01,4.59,30/01/12
1.5,Very Good,5,SI2,62.1,59,"$7,365",7.24,7.28,4.51,21/10/03
0.33,Premium,1,SI2,62.1,58,$492,4.4,4.43,2.74,02/05/12
0.31,Good,3,VVS1,63.6,61,$742,4.21,4.25,2.69,13/01/17
1.01,Fair,6,VS1,64.9,56,"$3,801",6.29,6.2,4.07,19/03/12
0.33,Very Good,1,VS1,61.6,53,$742,4.45,4.48,2.75,03/08/17
0.34,Ideal,2,VS1,62.4,55,$805,4.44,4.47,2.78,12/09/00
0.58,Ideal,2,VVS2,60.9,56,"$2,808",5.41,5.43,3.3,15/11/01
1.54,Premium,4,SI1,61,59,"$12,592",7.43,7.38,4.52,08/04/08
0.31,Very Good,3,VS2,62.8,57,$625,4.34,4.36,2.73,29/03/11
1.11,Very Good,1,VS2,63.2,57,"$8,006",6.64,6.61,4.18,01/10/15
0.41,Ideal,3,VS2,62.8,57,"$1,107",4.76,4.73,2.98,06/02/98
0.31,Very Good,4,SI1,61.9,56,$462,4.34,4.38,2.7,15/05/15
0.32,Ideal,2,VVS1,61.2,55,$892,4.4,4.45,2.71,13/04/02
0.34,Ideal,1,VS2,62.1,55,$923,4.49,4.46,2.78,31/05/11
1.51,Premium,2,SI2,58.8,62,"$8,879",7.5,7.41,4.39,19/04/15
1.21,Very Good,6,SI1,62.9,55,"$5,452",6.69,6.76,4.23,16/02/19
0.31,Premium,2,VS1,61.7,58,$942,4.36,4.3,2.67,03/04/14
0.4,Very Good,1,SI1,60.3,62,$720,4.7,4.75,2.85,30/11/16
1.22,Ideal,3,VVS2,61.9,53,"$11,730",6.9,6.92,4.28,25/12/10
0.33,Premium,4,VS1,60.8,59,$666,4.43,4.45,2.7,21/09/00
1,Premium,2,SI1,59.1,58,"$4,805",6.52,6.44,3.83,08/08/05
0.31,Ideal,3,IF,61.5,55,"$1,061",4.34,4.37,2.68,07/02/98
0.7,Good,3,SI1,60,62,"$2,313",5.73,5.83,3.47,24/02/13
0.38,Very Good,3,VVS1,63.8,58,"$1,030",4.58,4.61,2.93,02/11/10
0.6,Ideal,4,VS1,62.2,55,"$2,061",5.41,5.45,3.38,07/05/15
0.41,Premium,7,VVS1,62.2,59,$775,4.71,4.75,2.94,08/04/07
0.33,Premium,4,VVS1,61.2,60,"$1,114",4.44,4.42,2.71,26/12/98
0.58,Premium,4,VS2,62.2,58,"$2,297",5.35,5.32,3.32,30/09/14
0.31,Very Good,4,VS2,62.9,56,$544,4.28,4.34,2.71,23/03/11
1.06,Premium,4,VVS2,59.6,58,"$8,149",6.65,6.61,3.95,03/11/11
0.72,Premium,6,SI1,62,52,"$1,922",5.71,5.67,3.53,09/11/17
1.01,Premium,4,VS2,62.4,59,"$5,787",6.45,6.41,4.01,14/10/03
1.02,Premium,4,SI1,62.3,59,"$4,633",6.4,6.44,4,08/06/04
0.33,Ideal,3,VVS2,61.7,55,$761,4.46,4.49,2.76,02/08/05
0.31,Ideal,5,VVS1,61.3,56,$671,4.36,4.39,2.68,06/09/98
0.27,Very Good,4,VVS2,62.1,56,$504,4.14,4.18,2.58,11/01/04
1.5,Fair,5,SI2,59.3,58,"$7,098",7.31,7.37,4.35,04/11/01
0.33,Very Good,3,IF,60.3,58,"$1,014",4.49,4.46,2.7,10/11/99
1.01,Premium,2,SI2,61.6,56,"$4,751",6.45,6.4,3.96,03/02/99
0.74,Premium,3,SI1,58.7,58,"$2,452",5.93,5.86,3.46,29/11/10
0.33,Ideal,5,VS1,60.2,57,$743,4.54,4.5,2.72,27/09/00
1.3,Ideal,5,VS2,62.9,56,"$5,387",7,6.96,4.39,12/06/01
1,Fair,3,I1,68,57,"$2,280",6.14,6.05,4.15,20/11/03
0.51,Very Good,4,VS1,61.1,56,"$1,668",5.17,5.2,3.17,06/09/18
0.41,Premium,3,SI1,62.6,55,$969,4.78,4.74,2.98,15/10/18
1.01,Premium,5,VS2,61.3,59,"$5,260",6.45,6.41,3.94,21/01/07
0.35,Ideal,2,SI2,61.7,56,$630,4.55,4.53,2.8,10/04/03
0.54,Good,1,VS1,63.2,56,"$1,939",5.21,5.23,3.3,20/06/07
0.7,Very Good,6,VVS2,63.1,57,"$2,398",5.63,5.68,3.57,06/09/05
0.31,Very Good,3,VS2,62.8,56,$625,4.28,4.32,2.7,02/05/15
1.21,Ideal,5,SI2,61.1,56,"$6,098",6.92,6.87,4.21,02/01/12
1.44,Good,4,I1,63.2,54.8,"$5,987",7.18,7.21,4.54,20/01/04
1.13,Ideal,2,VS2,61.4,58,"$8,430",6.71,6.74,4.13,13/11/98
1,Ideal,4,VS1,62.6,56,"$6,377",6.39,6.36,3.99,25/02/12
1.1,Ideal,5,VS1,62.3,55,"$6,586",6.57,6.61,4.1,22/11/17
1.12,Ideal,5,SI1,62.7,56,"$4,290",6.66,6.61,4.16,02/07/07
0.72,Ideal,2,VVS2,62,54.9,"$4,094",5.75,5.78,3.57,06/12/11
1.06,Ideal,2,SI1,61.8,56,"$6,114",6.59,6.52,4.05,05/02/00
1.15,Ideal,4,SI1,62,55,"$6,313",6.72,6.76,4.18,05/10/16
0.36,Premium,2,VS2,60.3,59,"$1,013",4.64,4.58,2.78,13/01/18
0.3,Ideal,4,IF,60.9,57,$863,4.35,4.39,2.66,16/06/11
2.38,Premium,5,VS1,60.9,59,"$18,522",8.62,8.59,5.24,26/10/17
0.41,Ideal,5,VS1,62.7,56,$827,4.73,4.77,2.98,21/08/04
0.54,Ideal,3,VVS2,62.3,53.7,"$2,334",5.22,5.26,3.26,29/10/04
0.31,Ideal,4,VVS1,60.8,56,"$1,046",4.39,4.36,2.66,18/01/17
0.55,Ideal,1,VS2,61.6,57,"$1,673",5.25,5.3,3.25,25/03/99
0.54,Premium,3,VS2,62.4,58,"$1,691",5.25,5.2,3.26,17/04/16
0.31,Ideal,3,VVS2,61.5,56,$917,4.35,4.37,2.68,24/07/10
0.3,Premium,1,SI1,62.5,58,$709,4.31,4.27,2.68,01/10/00
1.5,Good,1,SI1,63.4,63,"$9,718",7.19,7.23,4.57,20/01/19
0.32,Very Good,5,VS2,63.1,55,$648,4.36,4.33,2.74,18/03/14
0.7,Good,4,SI1,61.8,62,"$2,155",5.68,5.72,3.52,19/03/00
0.23,Very Good,3,VVS1,61.4,58,$530,3.93,3.95,2.42,14/04/04
0.31,Very Good,2,VVS2,64.2,55,$721,4.24,4.3,2.74,19/01/15
0.74,Very Good,3,SI1,62.9,57,"$2,684",5.76,5.79,3.63,19/12/02
0.32,Ideal,4,IF,62.3,54,$883,4.39,4.4,2.74,11/02/12
0.56,Very Good,5,SI2,62,63,$956,5.26,5.21,3.27,07/06/05
0.51,Very Good,6,SI2,60.5,56,"$1,105",5.23,5.25,3.17,25/11/17
0.31,Very Good,4,VS2,60.9,57,$559,4.37,4.39,2.67,23/10/18
0.92,Very Good,5,VS1,61,62,"$4,228",6.26,6.32,3.84,17/08/03
1,Fair,7,VS2,65.7,59,"$2,811",6.14,6.07,4.01,30/06/08
0.44,Ideal,5,IF,61.9,54,"$1,177",4.9,4.95,3.05,06/12/12
0.9,Good,6,VS2,63.8,55,"$3,303",6.07,6.16,3.9,19/08/11
1.13,Ideal,5,SI1,61.3,57,"$4,556",6.72,6.7,4.11,23/03/00
0.54,Good,4,VS2,63.2,55,"$1,422",5.15,5.2,3.27,29/06/13
